source,target,rank,date,time
landing_page,HyPTN1Yqtsk,1,28/07/2023,09:35:06
landing_page,ZSSCABrgjCs,2,28/07/2023,09:35:07
landing_page,wipSS0CJXoo,3,28/07/2023,09:35:07
landing_page,aaifwVfAf4E,4,28/07/2023,09:35:07
landing_page,lFsCaB26_oY,5,28/07/2023,09:35:07
landing_page,13mpKPOah54,6,28/07/2023,09:35:07
landing_page,XHXCZXGXYcY,7,28/07/2023,09:35:08
landing_page,fQnvs8oz38w,8,28/07/2023,09:35:08
landing_page,B4GRmaeO9ZQ,9,28/07/2023,09:35:08
landing_page,C7L4rmnbGNc,10,28/07/2023,09:35:08
landing_page,rtL7XbxLJf0,11,28/07/2023,09:35:09
landing_page,lNWjTL3jaOE,12,28/07/2023,09:35:09
landing_page,qEWhYWYXBy4,13,28/07/2023,09:35:10
landing_page,ewCntFq5bqI,14,28/07/2023,09:35:10
landing_page,A2l8cMSH3NA,15,28/07/2023,09:35:10
landing_page,CrKDwSenkrQ,16,28/07/2023,09:35:10
landing_page,pQdTu0IeVho,17,28/07/2023,09:35:11
search_results,-dPXzt7kz7Q,1,28/07/2023,09:35:36
search_results,InALIdFMvDA,2,28/07/2023,09:35:37
search_results,_s3935FZRfY,3,28/07/2023,09:35:37
search_results,LHiyn_E7-iY,4,28/07/2023,09:35:37
search_results,4rIrNhEaP4s,5,28/07/2023,09:35:37
InALIdFMvDA,2-cMkdoazes,1,28/07/2023,09:38:33
InALIdFMvDA,ZEbCz7B2-Eg,2,28/07/2023,09:38:34
InALIdFMvDA,uqAZh-e5Cpk,3,28/07/2023,09:38:34
InALIdFMvDA,qT9cct5vTYk,4,28/07/2023,09:38:35
InALIdFMvDA,ulspbMICHXs,5,28/07/2023,09:38:35
ulspbMICHXs,WkFLi8aMv7c,1,28/07/2023,09:40:13
ulspbMICHXs,J0TYNKW_nsk,2,28/07/2023,09:40:14
ulspbMICHXs,va1-SopDxG8,3,28/07/2023,09:40:14
ulspbMICHXs,qQgXs-C3lAE,4,28/07/2023,09:40:14
ulspbMICHXs,LhRleArMdRs,5,28/07/2023,09:40:15
WkFLi8aMv7c,LHH37yF3idA,1,28/07/2023,09:42:32
WkFLi8aMv7c,UFV3txTerbs,2,28/07/2023,09:42:32
WkFLi8aMv7c,gY59U693xRk,3,28/07/2023,09:42:33
WkFLi8aMv7c,ABviuAr20bI,4,28/07/2023,09:42:33
