source,target,rank,date,time
landing_page,vg84gp_1nBo,1,29/07/2023,09:50:54
landing_page,Zb8L0YGDzQI,2,29/07/2023,09:50:58
landing_page,DZCC3XwIcx8,3,29/07/2023,09:50:58
landing_page,CrKDwSenkrQ,4,29/07/2023,09:51:00
landing_page,KYt9th0yvX4,5,29/07/2023,09:51:00
landing_page,#NAME?,6,29/07/2023,09:51:00
landing_page,0DAP5W6bYXs,7,29/07/2023,09:51:01
landing_page,Xzv84ZdtlE0,8,29/07/2023,09:51:01
landing_page,oS_dSDU4skg,9,29/07/2023,09:51:02
landing_page,13mpKPOah54,10,29/07/2023,09:51:02
landing_page,RdttrgKA6BE,11,29/07/2023,09:51:03
landing_page,PD-s-P0LjQ4,12,29/07/2023,09:51:04
landing_page,jN5Z3wJMatU,13,29/07/2023,09:51:04
landing_page,hD--j6oPR_4,14,29/07/2023,09:51:05
landing_page,g-QEjSDtOdM,15,29/07/2023,09:51:05
landing_page,sX2u0cFX3gw,16,29/07/2023,09:51:05
landing_page,fd6ftMhD6do,17,29/07/2023,09:51:06
landing_page,lAyuZXWrJ7w,18,29/07/2023,09:51:06
landing_page,#NAME?,1,28/07/2023,09:21:20
landing_page,5OaSecZbqU4,2,28/07/2023,09:21:20
landing_page,pyRrEgJ1wrU,3,28/07/2023,09:21:20
landing_page,myv7yydtCKc,4,28/07/2023,09:21:21
landing_page,ed7TTF_DkWQ,5,28/07/2023,09:21:21
landing_page,0MYacOcScG0,6,28/07/2023,09:21:22
landing_page,jN5Z3wJMatU,7,28/07/2023,09:21:22
landing_page,Eo-oFWyxdUo,8,28/07/2023,09:21:22
landing_page,OySuHF74BDk,9,28/07/2023,09:21:22
landing_page,phCEKdSKaS4,10,28/07/2023,09:21:22
landing_page,LqDCfLDVjIc,11,28/07/2023,09:21:23
landing_page,hD--j6oPR_4,12,28/07/2023,09:21:23
landing_page,aZgsVALlCrk,13,28/07/2023,09:21:23
landing_page,ciktYlmFbfc,14,28/07/2023,09:21:23
landing_page,_TedFmvfCYo,15,28/07/2023,09:21:24
landing_page,wYvJZ3Itw8A,16,28/07/2023,09:21:24
landing_page,AIkrg3g66gk,17,28/07/2023,09:21:24
landing_page,uKgaVlMN7IY,18,28/07/2023,09:21:25
search_results,b6FCV4Rxuoc,1,28/07/2023,09:21:50
